,detector,n_features,step_size,num_size,codebook_size,n_neighbors,distance,train_accuracy,val_accuracy,std_train_accuracy,std_val_accuracy,train_f1_weighted,val_f1_weighted,std_train_f1_weighted,std_val_f1_weighted
0,dense_sift,2000,5,1,2048,9,manhattan,0.7978283450346608,0.7538721601153985,0.005935918817655747,0.0409373795126326,0.797430189136427,0.7510370657464065,0.006187561454577699,0.04176293906086752
1,dense_sift,2000,5,2,2048,9,manhattan,0.8015492102065613,0.764492426974396,0.00534344547441565,0.04072224800931525,0.8013384485776103,0.7629205196059187,0.005308423132798653,0.042070846457980524
2,dense_sift,2000,5,3,2048,9,manhattan,0.8032200194262964,0.7639582582041111,0.006158872710801893,0.04085235111122365,0.8026849541200055,0.7614670773304406,0.006127508386418226,0.041427767637582186
3,dense_sift,2000,5,4,2048,13,manhattan,0.7957012394420295,0.763958258204111,0.009007772864704219,0.048827967018473736,0.7956266908901366,0.7620513100601749,0.008897075687982684,0.05043283881625031
4,dense_sift,2000,5,8,2048,13,manhattan,0.7915999734088719,0.7538586368553912,0.005667324016819074,0.04646515871633639,0.7919744847713912,0.752390452295187,0.005427094664259425,0.047827056163437
5,dense_sift,2000,5,10,2048,9,manhattan,0.7992707752421824,0.7650220879913451,0.006236374229017998,0.040220805898140574,0.7997332796803529,0.7643755359330879,0.006068110525558079,0.04124891793713176
6,dense_sift,2000,10,1,2048,9,manhattan,0.8350421672508097,0.79000631085467,0.0076963328463152385,0.04582253259523817,0.8353936387431027,0.7890869892156769,0.00765854028136758,0.04634548823437413
7,dense_sift,2000,10,2,2048,13,manhattan,0.814156682682897,0.7788608907320591,0.006515820204858456,0.04506938254609171,0.8139027076173171,0.7765793812680519,0.0064915238325534246,0.04567923272043701
8,dense_sift,2000,10,3,2048,9,euclidean,0.8338271465872873,0.7804408582762352,0.003333655451701335,0.035309981724386236,0.8333030865686359,0.7794260065630471,0.0033399567372304727,0.03678507512301763
9,dense_sift,2000,10,4,2048,9,manhattan,0.8228903910003804,0.7825685178507031,0.005647461230695644,0.04441677619206098,0.8227441359098047,0.7805754280035683,0.005602235604034259,0.04553592001742488
10,dense_sift,2000,10,8,2048,9,manhattan,0.8182573024039118,0.7809615037865127,0.006580654575646551,0.04045563985161628,0.8183843109703552,0.7785365344476303,0.006513931632751754,0.04092287708997994
11,dense_sift,2000,10,10,2048,9,manhattan,0.8238018296173462,0.7799066895059502,0.005595979696281959,0.035057434912846096,0.8237786208575915,0.778678727036165,0.005682752030650963,0.03592239445812727
12,dense_sift,2000,20,1,2048,5,manhattan,0.8658765654603404,0.7974711503786514,0.003942881730038717,0.034334791950223605,0.8660536018264777,0.7960177465992021,0.004050553451534197,0.03486494428316505
13,dense_sift,2000,20,2,2048,9,manhattan,0.8556236081206351,0.8033199603317707,0.004074243352006901,0.03824932638621505,0.855657316269594,0.8015601688491057,0.003985681124586459,0.03915937692161993
14,dense_sift,2000,20,3,2048,5,manhattan,0.8809902517662788,0.8118170753696358,0.006118464864165805,0.036064410011285825,0.8813298648607111,0.8098611786570101,0.006055926299218487,0.03673875618907254
15,dense_sift,2000,20,4,2048,5,manhattan,0.8743831873898962,0.8086300937612694,0.005235496071494449,0.031286396996981575,0.874612846063821,0.8075201376614057,0.0053011757687972194,0.03303424002622129
16,dense_sift,2000,20,8,2048,9,manhattan,0.8543325534500142,0.8107600072124054,0.005318447753186358,0.03540167088441329,0.8541962085121674,0.8093200954836641,0.005355494744350583,0.03672332047664614
17,dense_sift,2000,20,10,2048,13,manhattan,0.8462824587191201,0.811828344752975,0.004895311638995063,0.0428176092300269,0.8461599137177374,0.8097809807146088,0.004982647300843517,0.045364124289934284
18,dense_sift,2000,30,1,2048,13,manhattan,0.8364854284310865,0.7953502524341869,0.004448595004985412,0.04175522394972948,0.8362432672066198,0.7925395966644592,0.004301404118650181,0.04275312490161288
19,dense_sift,2000,30,2,2048,13,manhattan,0.8539528912312062,0.8128831590335377,0.003931224928582442,0.04643265583153201,0.8535904481352912,0.8101508382723648,0.003964683775354511,0.04814399893367743
20,dense_sift,2000,30,3,2048,23,manhattan,0.8411940893831227,0.8139537504507753,0.006212490869223909,0.04272051887832591,0.8410185839439699,0.8119710612061588,0.006219862643931079,0.044708394255924565
21,dense_sift,2000,30,4,2048,9,manhattan,0.8722565896139486,0.8256446087270105,0.0062196160377560004,0.03935381509219822,0.8720235983301172,0.824147875957687,0.006207479936562995,0.04028236787897065
22,dense_sift,2000,30,8,2048,9,manhattan,0.8617756225832542,0.8197935448972232,0.003996324430699829,0.03107706449005724,0.8615271700279143,0.8187141498380985,0.004006662741484914,0.031489509084428643
23,dense_sift,2000,30,10,2048,13,manhattan,0.8594969106279569,0.8245830328164443,0.0054992325415483476,0.03570815254234674,0.8593365680810384,0.8231476793285288,0.005462888989509218,0.037358511694193394
24,dense_sift,2000,50,1,2048,13,manhattan,0.8364854284310865,0.7953502524341869,0.004448595004985412,0.04175522394972948,0.8362432672066198,0.7925395966644592,0.004301404118650181,0.04275312490161288
25,dense_sift,2000,50,2,2048,13,manhattan,0.8539528912312062,0.8128831590335377,0.003931224928582442,0.04643265583153201,0.8535904481352912,0.8101508382723648,0.003964683775354511,0.04814399893367743
26,dense_sift,2000,50,3,2048,23,manhattan,0.8411940893831227,0.8139537504507753,0.006212490869223909,0.04272051887832591,0.8410185839439699,0.8119710612061588,0.006219862643931079,0.044708394255924565
27,dense_sift,2000,50,4,2048,9,manhattan,0.8722565896139486,0.8256446087270105,0.0062196160377560004,0.03935381509219822,0.8720235983301172,0.824147875957687,0.006207479936562995,0.04028236787897065
28,dense_sift,2000,50,8,2048,9,manhattan,0.8617756225832542,0.8197935448972232,0.003996324430699829,0.03107706449005724,0.8615271700279143,0.8187141498380985,0.004006662741484914,0.031489509084428643
29,dense_sift,2000,50,10,2048,13,manhattan,0.8594969106279569,0.8245830328164443,0.0054992325415483476,0.03570815254234674,0.8593365680810384,0.8231476793285288,0.005462888989509218,0.037358511694193394
